uid,gene_id,direction,padj,log2FoldChange,source
BM_26,ENSG00000154265,up,1.8833603341157e-07,1.64414296989489,tnbc140226
BM_27,ENSG00000170485,up,2.74420609449419e-07,1.4436709790233,tnbc140226
BM_28,ENSG00000151468,up,3.48593526333256e-07,1.13336976243654,tnbc140226
BM_29,ENSG00000206503,up,3.75165308508856e-07,1.12216778735971,tnbc140226
BM_30,ENSG00000071282,up,8.46828664713522e-07,1.22372359530497,tnbc140226
BM_31,ENSG00000204792,up,8.70799394067771e-07,1.78822347484099,tnbc140226
BM_32,ENSG00000118513,up,1.34454147791328e-06,1.58764241936144,tnbc140226
BM_33,ENSG00000164849,up,2.73934493085618e-06,1.4149083734698,tnbc140226
BM_34,ENSG00000135678,up,4.3644135489728e-06,1.00005777015114,tnbc140226
BM_35,ENSG00000205861,up,7.82986608943737e-06,1.11651609368546,tnbc140226
BM_36,ENSG00000122862,up,1.05064957629288e-05,1.14967872325619,tnbc140226
BM_37,ENSG00000028277,up,1.05064957629288e-05,1.63170742973996,tnbc140226
BM_38,ENSG00000085117,up,1.10150453155801e-05,1.08422022990122,tnbc140226
BM_39,ENSG00000125810,up,1.50219542537918e-05,2.23667534813734,tnbc140226
BM_40,ENSG00000138735,up,1.88514529703789e-05,1.63547949003997,tnbc140226
BM_41,ENSG00000264635,up,2.79712765479213e-05,1.6287233819125,tnbc140226
BM_42,ENSG00000247627,up,3.66994068751896e-05,1.15163569567239,tnbc140226
BM_43,ENSG00000226203,up,3.66994068751896e-05,1.17951416464202,tnbc140226
BM_44,ENSG00000143995,up,3.93525927494982e-05,1.10146669286614,tnbc140226
BM_45,ENSG00000144749,up,4.02415808688261e-05,1.10389198165901,tnbc140226
BM_46,ENSG00000224940,up,5.21555929938358e-05,2.42293850418776,tnbc140226
BM_47,ENSG00000140092,up,5.21555929938358e-05,1.90096233488771,tnbc140226
BM_48,ENSG00000140853,up,7.30449668242611e-05,1.35450354295238,tnbc140226
BM_49,ENSG00000156219,up,8.7144746638573e-05,4.70239818226312,tnbc140226
BM_50,ENSG00000244414,up,0.000109529782027,2.78912719769105,tnbc140226
BM_51,ENSG00000099260,up,0.0001142422224361,1.43051324054247,tnbc140226
BM_52,ENSG00000155511,up,0.000136201726635,2.37733187798956,tnbc140226
BM_53,ENSG00000136997,up,0.0001578917198622,1.06164535138282,tnbc140226
BM_54,ENSG00000148926,up,0.0002865018625916,1.28154229533087,tnbc140226
BM_55,ENSG00000170323,up,0.0003651024749366,2.05437171780643,tnbc140226
BM_56,ENSG00000055732,up,0.0005440573203966,1.05090313363809,tnbc140226
BM_57,ENSG00000278493,up,0.0005884385967845,2.17426214070043,tnbc140226
BM_58,ENSG00000087074,up,0.0007020154717898,1.16878426040162,tnbc140226
BM_59,ENSG00000012223,up,0.0007869231701507,1.69174493561923,tnbc140226
BM_60,ENSG00000179403,up,0.0007936483227322,1.53290383131886,tnbc140226
BM_61,ENSG00000050344,up,0.0010961010302965,1.02805958414116,tnbc140226
BM_62,ENSG00000276168,up,0.0011346446101337,2.04382280056766,tnbc140226
BM_63,ENSG00000168621,up,0.0013308037361704,1.22839052754984,tnbc140226
BM_64,ENSG00000232977,up,0.0015183663624769,2.56886267557383,tnbc140226
BM_65,ENSG00000269028,up,0.0022327287791537,1.09379716618168,tnbc140226
BM_66,ENSG00000134917,up,0.0023409487621484,1.20640142810947,tnbc140226
BM_67,ENSG00000130751,up,0.0024576507137205,1.1714190987924,tnbc140226
BM_68,ENSG00000179598,up,0.0035771436018505,1.14396753085961,tnbc140226
BM_69,ENSG00000287569,up,0.0047765275689765,1.14080329559985,tnbc140226
BM_70,ENSG00000082126,up,0.0049534846006599,1.60128941121661,tnbc140226
BM_71,ENSG00000147697,up,0.0056050094460812,1.50682104920897,tnbc140226
BM_72,ENSG00000250746,up,0.0071850957397097,1.05376305686812,tnbc140226
BM_73,ENSG00000182372,up,0.007222788435723,1.54857513140807,tnbc140226
BM_74,ENSG00000117394,up,0.0078146873316814,1.1706097736265,tnbc140226
BM_75,ENSG00000116679,up,0.0084334275191647,1.20267170988665,tnbc140226
