uid,gene_id,direction,padj,log2FoldChange,source
BM_315,ENSG00000259972,down,0.000906136327766,-1.02002947950667,tnbc140226
BM_316,ENSG00000148735,down,0.0011314031975214,-1.18575695588778,tnbc140226
BM_317,ENSG00000182240,down,0.0011338279071823,-2.42348358309371,tnbc140226
BM_318,ENSG00000213020,down,0.0011758694540623,-1.19350718614694,tnbc140226
BM_319,ENSG00000236609,down,0.001215799387467,-3.7866723872182,tnbc140226
BM_320,ENSG00000181104,down,0.0013633985395553,-1.61499374070014,tnbc140226
BM_321,ENSG00000157578,down,0.0013655949699199,-1.70192457445022,tnbc140226
BM_322,ENSG00000005249,down,0.0015387742752864,-4.16006819227373,tnbc140226
BM_323,ENSG00000228742,down,0.0016766817738414,-5.4969940087272,tnbc140226
BM_324,ENSG00000140876,down,0.0017792343296762,-1.018747437902,tnbc140226
BM_325,ENSG00000174007,down,0.0019155364498194,-1.16105556478135,tnbc140226
BM_326,ENSG00000143167,down,0.0021478155043033,-1.62312725332906,tnbc140226
BM_327,ENSG00000167642,down,0.0021881468239978,-1.09028118462618,tnbc140226
BM_328,ENSG00000090339,down,0.0022025588486562,-1.26450423254065,tnbc140226
BM_329,ENSG00000049540,down,0.0022657574035253,-4.79177685216922,tnbc140226
